numConns,dataLen,openssl,denseMap,tbb,siphash,memory,numPkts,numBytes
1,100,27881244,2661,14748,11343,2298,4,500
1,1000,23345304,2379,13230,10452,1977,6,1000
1,10000,23611566,4848,13857,12606,1923,23,10000
1,100000,30773484,31026,14664,25830,348,204,100000
1,1000000,48461730,202557,13866,129345,2124,2003,1000000
1,10000000,240809268,1880670,12960,1146330,315,20004,10000000
2,100,41768814,4596,16560,11706,2427,8,1000
2,1000,42000243,4347,17703,12861,2604,11,2000
2,10000,43223628,8910,14136,14391,2232,46,20000
2,100000,52113222,59643,15006,39351,2616,405,200000
2,1000000,105746784,564831,16071,292176,2934,4005,2000000
2,10000000,547685319,4553091,19161,2603685,2553,40004,20000000
4,100,79631247,6645,16464,13884,3243,18,2000
4,1000,79062990,6951,18537,13236,3270,20,4000
4,10000,96330567,18900,16728,19743,3780,92,40000
4,100000,88072110,100653,18300,60414,3210,813,400000
4,1000000,167200485,952479,16344,481368,3225,8008,4000000
4,10000000,269966262,1903737,18066,1136805,1221,20007,10000000
8,100,153213561,12123,21234,15783,4272,38,4000
8,1000,153357768,13698,23346,16635,4554,39,8000
8,10000,154313703,31137,23067,25362,4227,191,80000
8,100000,170547915,196377,22272,110028,4584,1624,800000
8,1000000,325824150,1819029,21486,951996,4164,15710,7843500
8,10000000,2126073576,24203553,25287,10226748,5136,145794,72889000
16,100,299285124,22680,30315,21393,7554,71,8000
16,1000,300889629,25596,26382,21480,6672,80,16000
16,10000,304124109,65505,26523,39570,6615,374,160000
16,100000,322040211,293427,30588,141603,7230,2113,1035500
16,1000000,636965127,3422904,28719,1812111,7095,30459,15205500
16,10000000,3875985978,41282028,27741,18665556,5148,317617,158784500
32,100,594161109,50733,33312,32172,14220,134,16000
32,1000,595642326,67773,37965,34269,11070,167,32000
32,10000,600574695,142320,40557,69573,13038,744,320000
32,100000,637230195,546546,35613,266628,12582,4085,2005000
32,1000000,1261972335,7054014,36519,3510879,12813,60500,30211000
32,10000000,7690589529,72302157,40305,37133721,13701,636973,318454000
