numConns,dataLen,openssl,denseMap,tbb,siphash,memory,numPkts,numBytes
1,100,27092748,2481,15183,12546,2319,4,500
1,1000,23337213,2412,14340,11670,2163,5,1000
1,10000,23583678,5247,13269,11988,2124,23,10000
1,100000,25149270,25863,12909,23493,1953,203,100000
1,1000000,34548084,211269,14187,135804,2169,2004,1000000
1,10000000,131098920,2027451,14079,1233198,2232,20003,10000000
2,100,34021683,3228,14970,10143,420,6,500
2,1000,42084768,4545,16965,11931,2280,11,2000
2,10000,42289665,9180,16179,13815,609,47,20000
2,100000,44929830,53064,16353,36855,2196,406,200000
2,1000000,71123004,448758,15753,276090,3057,4007,2000000
2,10000000,259360407,4771929,14703,2429958,2190,40005,20000000
4,100,79473126,6669,17256,13671,2922,19,2000
4,1000,79129002,7512,17943,13833,3186,24,4000
4,10000,80263542,17034,18669,18135,3228,92,40000
4,100000,84328395,104511,16179,61983,1176,814,400000
4,1000000,121829136,846342,16149,494904,3288,7883,3936000
4,10000000,528473052,8404782,18009,5052384,1308,79890,39939000
8,100,153121509,11217,20979,15057,4338,32,4000
8,1000,153159219,13953,22431,17715,4356,47,8000
8,10000,154001055,32004,21438,24747,4647,184,80000
8,100000,196022844,228933,25005,133329,5043,1624,800000
8,1000000,241464675,1779141,20157,999882,4113,15607,7789500
8,10000000,1192907877,21246744,24702,11492187,5826,159275,79627000
16,100,362208501,27597,29619,24867,5979,72,8000
16,1000,362087778,26493,31380,24960,7596,87,16000
16,10000,303355947,72270,30963,40815,7347,368,160000
16,100000,312337818,308829,29697,150150,6684,2118,1035500
16,1000000,494032299,3384177,30312,1900350,7041,29224,14587500
16,10000000,2135494632,38227386,28161,19893141,7149,318459,159204000
32,100,595125441,63093,38370,33129,12615,135,16000
32,1000,720126468,68463,39234,39069,11859,168,32000
32,10000,725682957,169554,46641,79995,15261,736,320000
32,100000,617624790,577143,34239,291054,13419,3965,1942000
32,1000000,947972565,7095693,39201,3736233,12546,60276,30096000
32,10000000,4215484320,77124180,35694,39160008,13791,637420,318673500
