numConns,dataLen,openssl,denseMap,tbb,siphash,memory,numPkts,numBytes
1,100,7577562,2331,13779,10716,2172,4,500
1,1000,7507890,2715,13602,10167,360,6,1000
1,10000,8474895,5037,15015,13368,2373,23,10000
1,100000,9791925,25212,14025,23808,2088,203,100000
1,1000000,30659076,196383,13530,125286,1944,2003,1000000
1,10000000,266714829,2317194,14817,1401858,2481,20003,10000000
2,100,10972224,5505,18213,12987,3243,8,1000
2,1000,11182209,5469,15939,13503,2799,10,2000
2,10000,10394868,9201,13887,12525,411,47,20000
2,100000,14189391,50112,16776,35583,2670,406,200000
2,1000000,53744856,400884,16062,246474,573,4007,2000000
2,10000000,446419512,3921552,16548,2384799,3549,40006,20000000
4,100,14833929,6429,18999,13395,1617,17,2000
4,1000,16729368,7350,19284,14055,3903,19,4000
4,10000,15462699,15699,21093,18264,3582,92,40000
4,100000,27601911,131475,18732,71799,4116,813,400000
4,1000000,101920560,807666,14973,482298,4050,8014,4000000
4,10000000,888930954,7997685,18795,4686513,3252,80015,40000000
8,100,27559686,14517,23535,17766,6027,32,4000
8,1000,24396600,12573,20067,14577,3039,39,8000
8,10000,26942250,32163,21777,26445,5292,184,80000
8,100000,41511762,179094,19728,107751,2709,1626,800000
8,1000000,234541866,2251293,25818,1117251,5625,16029,8000000
8,10000000,1767009930,17026344,22131,9342585,4209,160031,80000000
16,100,42476607,22527,27183,19818,7230,64,8000
16,1000,46890054,27954,28632,23106,8235,76,15000
16,10000,53201658,87105,29976,45117,8571,370,160000
16,100000,87152208,493623,25314,241278,7914,3248,1600000
16,1000000,391294305,3293211,26880,1881969,5628,32055,16000000
16,10000000,3539799381,33893172,27816,18541467,6924,320054,160000000
32,100,80547021,61824,31158,31899,11334,128,16000
32,1000,80440842,55416,30519,33021,10836,160,32000
32,10000,97484724,147459,35799,79986,13455,736,320000
32,100000,173000064,1032048,42393,521400,13518,6502,3200000
32,1000000,805240887,7826781,35013,3770466,13215,64102,32000000
32,10000000,7174311402,76994553,29502,37379235,11352,640079,320000000
