numConns,dataLen,openssl,denseMap,tbb,siphash,memory,numPkts,numBytes
1,100,7634799,2385,12984,10764,2193,4,500
1,1000,7514559,2706,13539,10887,1998,5,1000
1,10000,8257383,4971,13437,12288,2034,23,10000
1,100000,9018570,28329,10854,25479,2193,203,100000
1,1000000,18342900,209427,11439,130788,183,2004,1000000
1,10000000,125090850,2162100,13860,1318395,2208,20003,10000000
2,100,10306893,4647,13998,11394,831,9,1000
2,1000,10033377,4335,14001,11337,2697,10,2000
2,10000,11806491,8829,15870,15510,630,47,20000
2,100000,12095184,48219,16389,36543,2850,406,200000
2,1000000,32261994,417840,14088,256887,2496,4006,2000000
2,10000000,227951943,4101303,17184,2439918,2679,40007,20000000
4,100,16510335,7065,21732,14109,3699,16,2000
4,1000,14979657,8649,20070,16518,3126,20,4000
4,10000,15504627,18762,16365,18864,3501,92,40000
4,100000,19438362,94953,17187,61038,1326,813,400000
4,1000000,58739037,838680,18618,509697,3402,8012,4000000
4,10000000,454296132,8330433,19062,4973334,1251,80016,40000000
8,100,24184272,11397,20529,15498,4524,32,4000
8,1000,24539124,12873,19716,15786,4656,41,8000
8,10000,27283701,35601,22914,28494,5679,184,80000
8,100000,35891115,206631,23181,123033,5838,1625,800000
8,1000000,130296336,2023137,23910,1148433,5091,16029,8000000
8,10000000,903004413,16754547,21660,9970500,5427,160030,80000000
16,100,42438306,22677,26031,21201,7563,71,8000
16,1000,47549436,26778,27216,24618,9126,80,16000
16,10000,44291514,74652,23562,39420,4875,370,160000
16,100000,60860940,392823,28911,220320,8085,3248,1600000
16,1000000,221885973,3733722,23412,2044047,5757,32055,16000000
16,10000000,1826775126,37164138,24762,19585833,7533,320054,160000000
32,100,79755231,51162,36663,31569,12954,130,16000
32,1000,86262669,57312,38280,35607,13569,160,32000
32,10000,84245691,133992,35928,69771,13845,736,320000
32,100000,133879134,930525,37827,499065,12555,6503,3200000
32,1000000,442239501,7826454,34854,3960519,12822,64102,32000000
32,10000000,3746672613,83740077,33999,44885181,10809,640079,320000000
