numConns,dataLen,openssl,denseMap,tbb,siphash,memory,numPkts,numBytes
1,100,7832964,2673,11994,9564,69,5,500
2,100,11074058,4545,13365,10746,261,9,1000
3,100,13260243,5418,14886,13053,429,12,1500
4,100,15407821,6489,16605,11760,1122,16,2000
5,100,17811918,8289,15636,13812,1140,21,2500
6,100,19940731,8253,18771,12708,1251,24,3000
7,100,22156646,10203,19701,14274,1713,28,3500
8,100,24445937,12213,17772,13572,1467,33,4000
9,100,26839967,15174,22236,16176,2262,37,4500
10,100,29007600,14763,20031,15558,1983,41,5000
11,100,31281437,17499,20487,16554,2781,44,5500
12,100,33690382,16962,21957,16770,2976,49,6000
13,100,36372929,22329,23700,17730,3576,53,6500
14,100,38026392,19377,23949,19092,2688,56,7000
15,100,40323955,19446,23943,17754,2793,61,7500
16,100,42747254,22539,23187,18789,3690,64,8000
17,100,44987465,27477,21237,20616,4032,70,8500
18,100,47389841,35355,24657,20979,4110,72,9000
19,100,48872730,29466,24144,21834,3885,77,9500
20,100,51661057,29388,25026,22554,4638,81,10000
21,100,54288439,38817,26484,24546,5097,86,10500
22,100,56305658,42189,25974,24024,5784,89,11000
23,100,58514084,35082,24588,23274,5484,93,11500
24,100,60695162,33747,26541,24981,4932,103,12000
25,100,62280222,35601,28311,26349,5592,101,12500
26,100,67845220,37251,29322,27171,6684,111,13000
27,100,67517312,45987,27855,26772,6435,114,13500
28,100,70288883,50580,27918,27264,6123,113,14000
29,100,71227617,43548,27138,27036,4128,116,14500
30,100,74429534,49758,28653,27720,6324,127,15000
31,100,76542825,57369,30336,30069,8355,126,15500
32,100,79043798,48192,28656,29067,7434,129,16000
