size,cycles
2,97
2,121
2,105
2,97
2,92
2,110
2,100
2,178
2,89
2,127
2,124
2,91
2,107
2,95
2,91
2,91
2,130
2,97
2,98
2,117
2,95
2,124
2,94
2,100
2,92
2,95
2,91
2,98
2,108
2,106
2,111
2,124
2,113
2,94
2,88
2,97
2,102
2,97
2,145
2,129
2,92
2,107
2,116
2,112
2,101
2,92
2,95
2,163
2,94
2,107
2,91
2,133
2,92
2,141
2,137
2,97
2,94
2,124
2,138
2,91
2,94
2,94
2,142
2,89
2,97
2,104
2,101
2,144
2,114
2,132
2,98
2,88
2,97
2,97
2,100
2,116
2,124
2,91
2,127
2,100
2,100
2,105
2,114
2,94
3,84
3,91
3,91
3,111
3,106
3,113
3,90
3,83
3,85
3,95
3,140
3,169
3,90
3,94
3,110
3,88
3,89
3,96
3,102
3,94
3,91
3,86
3,112
3,116
3,128
3,103
3,96
3,115
3,92
3,84
3,98
3,98
3,91
3,95
3,88
3,87
3,91
3,108
3,88
3,110
3,136
3,141
3,91
3,110
3,102
3,88
3,90
3,101
3,92
3,105
3,99
3,158
3,172
3,100
3,93
3,101
3,97
3,93
3,96
3,146
3,85
3,96
3,97
3,93
3,95
3,89
4,88
4,102
4,91
4,122
4,89
4,89
4,93
4,86
4,89
4,95
4,91
4,113
4,85
4,84
4,99
4,103
4,91
4,123
4,89
4,90
4,86
4,107
4,94
4,104
4,83
4,87
4,88
4,86
4,95
4,99
4,84
4,85
4,85
4,84
5,91
5,110
5,80
5,87
5,85
5,87
5,84
5,102
5,88
5,85
5,83
5,89
5,96
5,132
6,110
6,84
6,87
6,95
6,84
6,95
6,82
6,93
6,82
6,85
6,91
6,101
6,85
6,83
6,84
6,141
6,84
6,88
6,89
6,91
6,106
6,94
7,121
7,120
7,137
7,120
7,126
7,145
7,123
7,85
8,85
8,81
8,97
8,109
8,153
8,116
8,95
8,96
9,83
9,85
9,88
9,96
9,94
9,86
9,80
9,81
11,104
11,102
11,110
11,111
11,106
11,80
11,80
11,89
12,85
12,91
12,83
12,80
12,91
12,100
12,80
12,97
13,84
13,115
13,114
13,113
13,124
13,120
13,125
13,115
15,115
15,118
15,84
15,96
15,80
15,80
15,85
15,105
17,108
17,107
17,110
17,103
17,127
17,134
17,126
17,126
19,90
19,79
19,79
19,80
19,81
19,86
19,80
19,80
21,82
21,82
21,93
21,79
21,81
21,88
21,81
21,80
24,80
24,82
24,79
24,81
24,81
24,79
24,89
24,79
27,76
27,81
27,80
27,86
27,81
27,79
27,82
27,79
30,87
30,92
30,82
30,83
30,81
30,82
30,97
30,83
34,79
34,79
34,87
34,112
34,112
34,112
34,112
34,81
38,91
38,81
38,77
38,79
38,84
38,91
38,79
38,79
43,79
43,82
43,106
43,106
43,110
43,103
43,108
43,79
48,81
48,78
48,79
48,108
48,81
48,111
48,111
48,112
54,116
54,79
54,81
54,92
54,82
54,79
54,82
54,101
60,103
60,101
60,104
60,101
60,118
60,119
60,118
60,97
67,82
67,78
67,81
67,89
67,137
67,101
67,101
67,102
76,105
76,106
76,106
76,106
76,106
76,106
76,79
76,81
85,79
85,82
85,81
85,75
85,78
85,85
85,79
85,81
95,120
95,84
95,117
95,117
95,121
95,121
95,118
95,117
107,122
107,121
107,120
107,146
107,141
107,145
107,119
107,122
119,119
119,118
119,157
119,151
119,112
119,111
119,109
119,109
134,109
134,100
134,109
134,136
134,110
134,110
134,109
134,107
150,91
150,81
150,81
150,81
150,81
150,99
150,79
150,81
168,74
168,82
168,79
168,81
168,81
168,78
168,81
168,76
189,81
189,86
189,81
189,79
189,79
189,107
189,109
189,105
211,105
211,109
211,74
211,81
211,87
211,91
211,79
211,81
237,74
237,81
237,84
237,84
237,81
237,79
237,81
237,88
265,159
265,81
265,104
265,99
265,109
265,107
265,105
265,109
297,117
297,128
297,117
297,109
297,109
297,109
297,109
297,109
333,109
333,137
333,136
333,134
333,100
333,104
333,104
333,104
373,81
373,81
373,93
373,81
373,81
373,115
373,115
373,115
419,87
419,79
419,109
419,87
419,87
419,85
419,87
419,81
469,81
469,87
469,82
469,81
469,79
469,78
469,82
469,95
526,78
526,81
526,79
526,81
526,88
526,79
526,78
526,81
589,81
589,73
589,81
589,81
589,76
589,81
589,78
589,81
660,81
660,82
660,79
660,81
660,79
660,84
660,81
660,81
739,78
739,84
739,81
739,81
739,78
739,84
739,106
739,107
829,97
829,79
829,114
829,83
829,109
829,86
829,108
829,87
928,84
928,81
928,78
928,78
928,107
928,109
928,105
928,109
1040,78
1040,73
1040,78
1040,88
1040,78
1040,81
1040,78
1040,81
1166,95
1166,78
1166,78
1166,73
1166,84
1166,81
1166,78
1166,79
1306,84
1306,78
1306,78
1306,78
1306,82
1306,78
1306,95
1306,78
1463,78
1463,78
1463,91
1463,78
1463,81
1463,81
1463,100
1463,104
1640,78
1640,78
1640,88
1640,78
1640,87
1640,78
1640,85
1640,88
1837,78
1837,78
1837,124
1837,84
1837,81
1837,81
1837,81
1837,88
2059,84
2059,100
2059,115
2059,78
2059,78
2059,124
2059,78
2059,83
2307,78
2307,78
2307,81
2307,84
2307,86
2307,97
2307,78
2307,78
2584,106
2584,108
2584,81
2584,88
2584,78
2584,78
2584,73
2584,87
2896,73
2896,78
2896,78
2896,138
2896,84
2896,93
2896,78
2896,81
3245,89
3245,105
3245,80
3245,78
3245,87
3245,78
3245,84
3245,86
3635,109
3635,111
3635,111
3635,124
3635,116
3635,78
3635,78
3635,78
4073,84
4073,105
4073,89
4073,78
4073,81
4073,78
4073,81
4073,83
4564,78
4564,81
4564,78
4564,79
4564,79
4564,81
4564,81
4564,78
5114,89
5114,80
5114,78
5114,78
5114,81
5114,87
5114,81
5114,84
5730,78
5730,85
5730,111
5730,112
5730,78
5730,81
5730,99
5730,114
6420,87
6420,121
6420,103
6420,105
6420,105
6420,134
6420,132
6420,132
7193,88
7193,78
7193,78
7193,83
7193,78
7193,89
7193,79
7193,73
8059,82
8059,87
8059,82
8059,89
8059,78
8059,78
8059,84
8059,85
9030,82
9030,78
9030,78
9030,80
9030,84
9030,116
9030,90
9030,78
10118,82
10118,82
10118,82
10118,73
10118,73
10118,81
10118,79
10118,81
11336,81
11336,98
11336,103
11336,100
11336,104
11336,121
11336,110
11336,117
12702,98
