size,add
1012,775496
1012,718080
1012,775176
1012,783368
1012,776104
1012,784184
1012,772208
1012,766696
1147,960600
1147,933616
1147,928832
1147,930800
1147,933728
1147,668165
1147,1003768
1147,666503
1299,1064352
1299,862908
1299,1061640
1299,1068000
1299,854820
1299,1058744
1299,1072480
1299,858624
1471,1118751
1471,980550
1471,1210216
1471,973884
1471,1206256
1471,1125642
1471,1201632
1471,1241280
1667,1377792
1667,843332
1667,1377096
1667,1275477
1667,1105146
1667,1380504
1667,1107318
1667,705544
1888,1131913
1888,1436250
1888,1230776
1888,1564080
1888,1556840
1888,1443662
1888,1562840
1888,1435097
2138,1496976
2138,1832704
2138,1909808
2138,1840960
2138,1856888
2138,1841968
2138,1843224
2138,1704532
2422,2115856
2422,2105280
2422,1712166
2422,2100280
2422,1696818
2422,2295584
2422,2110824
2422,1820100
2743,2400488
2743,2398968
2743,1419452
2743,2416480
2743,2140952
2743,1475952
2743,2385248
2743,2070978
3107,2514048
3107,2755312
3107,2728664
3107,2204376
3107,2510130
3107,2782656
3107,2716344
3107,2717144
3519,3139952
3519,3093872
3519,3090592
3519,3141940
3519,2405634
3519,3077664
3519,3080104
3519,3131248
3986,3231079
3986,3482544
3986,3437056
3986,2162464
3986,3494560
3986,3242716
3986,1940044
3986,3400793
4515,4141488
4515,3817344
4515,4144912
4515,2279124
4515,4104784
4515,3510912
4515,3556464
4515,3571566
5114,4793048
5114,4744176
5114,3567870
5114,4730584
5114,3475503
5114,4713128
5114,4472221
5114,4718720
5792,4757196
5792,5397520
5792,5377408
5792,5414720
5792,2986012
5792,5381960
5792,4400902
5792,3689515
6560,6229144
6560,5744256
6560,5358558
6560,4433326
6560,6138320
6560,6177072
6560,6149942
6560,6089096
7431,6849034
7431,6207252
7431,6892544
7431,6427090
7431,4002700
7431,6996544
7431,7041960
7431,7010960
8416,8376784
8416,8215456
8416,7605986
8416,4996572
8416,8252776
8416,7356728
8416,8221128
8416,8205048
9533,9450048
9533,5913732
9533,9382792
9533,6521894
9533,6839763
9533,9446008
9533,9412216
9533,9583696
10797,10157082
10797,10740456
10797,9969443
10797,10290157
10797,9334668
10797,9393714
10797,10766168
10797,10731064
12229,12371576
12229,12218848
12229,8202768
12229,11923458
12229,10106646
12229,10853225
12229,10542762
12229,8017687
13852,14181384
13852,13844464
13852,13793040
13852,9224528
13852,13955744
13852,11463888
13852,13772646
13852,11346114
15689,14348755
15689,9433444
15689,15495832
15689,10366302
15689,15642288
15689,15351871
15689,15371053
15689,15647568
17770,17425621
17770,18425680
17770,18426472
17770,14738244
17770,18384368
17770,14870628
17770,17082325
17770,13015648
20127,14185257
20127,17265604
20127,20808488
20127,20997096
20127,15178904
20127,21046200
20127,19621440
